[*] Mapping R-DAC patterns in SP-808TS25E.ima...
[*] Block Size: 4096 bytes
LBA        | Offset       | Entropy  | Type
33744      | 0x107a000    | 7.75     | DATA (R-DAC?)
33752      | 0x107b000    | 7.76     | DATA (R-DAC?)
33760      | 0x107c000    | 7.73     | DATA (R-DAC?)
33768      | 0x107d000    | 7.68     | DATA (R-DAC?)
33776      | 0x107e000    | 7.78     | DATA (R-DAC?)
33784      | 0x107f000    | 7.71     | DATA (R-DAC?)
33792      | 0x1080000    | 7.71     | DATA (R-DAC?)
33800      | 0x1081000    | 7.76     | DATA (R-DAC?)
33808      | 0x1082000    | 7.77     | DATA (R-DAC?)
33816      | 0x1083000    | 7.72     | DATA (R-DAC?)
33824      | 0x1084000    | 7.82     | DATA (R-DAC?)
33832      | 0x1085000    | 7.84     | DATA (R-DAC?)
33840      | 0x1086000    | 7.77     | DATA (R-DAC?)
33848      | 0x1087000    | 7.31     | DATA (R-DAC?)
33856      | 0x1088000    | 7.05     | Metadata/Table
33864      | 0x1089000    | 6.92     | Metadata/Table
33872      | 0x108a000    | 6.73     | Metadata/Table
33880      | 0x108b000    | 6.71     | Metadata/Table
33888      | 0x108c000    | 6.52     | Metadata/Table
33896      | 0x108d000    | 6.33     | Metadata/Table
33904      | 0x108e000    | 6.22     | Metadata/Table
33912      | 0x108f000    | 6.03     | Metadata/Table
33920      | 0x1090000    | 5.89     | Metadata/Table
33928      | 0x1091000    | 5.76     | Metadata/Table
33936      | 0x1092000    | 5.62     | Metadata/Table
33944      | 0x1093000    | 5.55     | Metadata/Table
33952      | 0x1094000    | 5.47     | Metadata/Table
33960      | 0x1095000    | 5.29     | Metadata/Table
33968      | 0x1096000    | 5.34     | Metadata/Table
33976      | 0x1097000    | 5.31     | Metadata/Table
33984      | 0x1098000    | 5.19     | Metadata/Table
33992      | 0x1099000    | 5.07     | Metadata/Table
34000      | 0x109a000    | 5.16     | Metadata/Table
34008      | 0x109b000    | 5.06     | Metadata/Table
34016      | 0x109c000    | 4.97     | Metadata/Table
34024      | 0x109d000    | 4.86     | Metadata/Table
34032      | 0x109e000    | 4.80     | Metadata/Table
34040      | 0x109f000    | 4.76     | Metadata/Table
34048      | 0x10a0000    | 4.65     | Metadata/Table
34056      | 0x10a1000    | 4.60     | Metadata/Table
34064      | 0x10a2000    | 5.74     | Metadata/Table
34072      | 0x10a3000    | 7.78     | DATA (R-DAC?)
34080      | 0x10a4000    | 7.78     | DATA (R-DAC?)
34088      | 0x10a5000    | 7.77     | DATA (R-DAC?)
34096      | 0x10a6000    | 7.76     | DATA (R-DAC?)
34104      | 0x10a7000    | 7.75     | DATA (R-DAC?)
34112      | 0x10a8000    | 7.77     | DATA (R-DAC?)
34120      | 0x10a9000    | 7.76     | DATA (R-DAC?)
34128      | 0x10aa000    | 7.75     | DATA (R-DAC?)
34136      | 0x10ab000    | 7.77     | DATA (R-DAC?)
34144      | 0x10ac000    | 7.77     | DATA (R-DAC?)
34152      | 0x10ad000    | 7.77     | DATA (R-DAC?)
34160      | 0x10ae000    | 7.76     | DATA (R-DAC?)
34168      | 0x10af000    | 7.78     | DATA (R-DAC?)
34176      | 0x10b0000    | 7.76     | DATA (R-DAC?)
34184      | 0x10b1000    | 7.76     | DATA (R-DAC?)
34192      | 0x10b2000    | 7.75     | DATA (R-DAC?)
34200      | 0x10b3000    | 7.73     | DATA (R-DAC?)
34208      | 0x10b4000    | 7.77     | DATA (R-DAC?)
34216      | 0x10b5000    | 7.71     | DATA (R-DAC?)
34224      | 0x10b6000    | 7.71     | DATA (R-DAC?)
34232      | 0x10b7000    | 7.76     | DATA (R-DAC?)
34240      | 0x10b8000    | 7.73     | DATA (R-DAC?)
34248      | 0x10b9000    | 7.80     | DATA (R-DAC?)
34256      | 0x10ba000    | 7.72     | DATA (R-DAC?)
34264      | 0x10bb000    | 7.60     | DATA (R-DAC?)
34272      | 0x10bc000    | 7.51     | DATA (R-DAC?)
34280      | 0x10bd000    | 7.59     | DATA (R-DAC?)
34288      | 0x10be000    | 7.57     | DATA (R-DAC?)
34296      | 0x10bf000    | 7.59     | DATA (R-DAC?)
34304      | 0x10c0000    | 7.66     | DATA (R-DAC?)
34312      | 0x10c1000    | 7.62     | DATA (R-DAC?)
34320      | 0x10c2000    | 7.63     | DATA (R-DAC?)
34328      | 0x10c3000    | 7.62     | DATA (R-DAC?)
34336      | 0x10c4000    | 7.61     | DATA (R-DAC?)
34344      | 0x10c5000    | 7.63     | DATA (R-DAC?)
34352      | 0x10c6000    | 7.60     | DATA (R-DAC?)
34360      | 0x10c7000    | 7.62     | DATA (R-DAC?)
34368      | 0x10c8000    | 7.59     | DATA (R-DAC?)
34376      | 0x10c9000    | 7.49     | DATA (R-DAC?)
34384      | 0x10ca000    | 7.46     | DATA (R-DAC?)
34392      | 0x10cb000    | 7.33     | DATA (R-DAC?)
34400      | 0x10cc000    | 7.31     | DATA (R-DAC?)
34408      | 0x10cd000    | 7.31     | DATA (R-DAC?)
34416      | 0x10ce000    | 7.31     | DATA (R-DAC?)
34424      | 0x10cf000    | 7.28     | DATA (R-DAC?)
34432      | 0x10d0000    | 7.36     | DATA (R-DAC?)
34440      | 0x10d1000    | 7.31     | DATA (R-DAC?)
34448      | 0x10d2000    | 7.33     | DATA (R-DAC?)
34456      | 0x10d3000    | 7.31     | DATA (R-DAC?)
34464      | 0x10d4000    | 7.32     | DATA (R-DAC?)
34472      | 0x10d5000    | 7.31     | DATA (R-DAC?)
34480      | 0x10d6000    | 7.22     | DATA (R-DAC?)
34488      | 0x10d7000    | 7.20     | DATA (R-DAC?)
34496      | 0x10d8000    | 7.07     | Metadata/Table
34504      | 0x10d9000    | 6.94     | Metadata/Table
34512      | 0x10da000    | 6.79     | Metadata/Table
34520      | 0x10db000    | 6.72     | Metadata/Table
34528      | 0x10dc000    | 6.52     | Metadata/Table
34536      | 0x10dd000    | 6.33     | Metadata/Table
34544      | 0x10de000    | 6.17     | Metadata/Table
34552      | 0x10df000    | 6.02     | Metadata/Table
34560      | 0x10e0000    | 5.82     | Metadata/Table
34568      | 0x10e1000    | 5.75     | Metadata/Table
34576      | 0x10e2000    | 5.52     | Metadata/Table
34584      | 0x10e3000    | 5.52     | Metadata/Table
34592      | 0x10e4000    | 5.52     | Metadata/Table
34600      | 0x10e5000    | 5.33     | Metadata/Table
34608      | 0x10e6000    | 5.21     | Metadata/Table
34616      | 0x10e7000    | 5.28     | Metadata/Table
34624      | 0x10e8000    | 5.17     | Metadata/Table
34632      | 0x10e9000    | 5.09     | Metadata/Table
34640      | 0x10ea000    | 6.21     | Metadata/Table
34648      | 0x10eb000    | 7.49     | DATA (R-DAC?)
34656      | 0x10ec000    | 7.11     | Metadata/Table
34664      | 0x10ed000    | 6.41     | Metadata/Table
34672      | 0x10ee000    | 7.02     | Metadata/Table
34680      | 0x10ef000    | 7.00     | Metadata/Table
34688      | 0x10f0000    | 7.18     | Metadata/Table
34696      | 0x10f1000    | 7.13     | Metadata/Table
34704      | 0x10f2000    | 6.66     | Metadata/Table
34712      | 0x10f3000    | 7.20     | Metadata/Table
34720      | 0x10f4000    | 7.42     | DATA (R-DAC?)
34728      | 0x10f5000    | 7.38     | DATA (R-DAC?)
34736      | 0x10f6000    | 6.49     | Metadata/Table
34744      | 0x10f7000    | 6.36     | Metadata/Table
34752      | 0x10f8000    | 6.24     | Metadata/Table
34760      | 0x10f9000    | 7.25     | DATA (R-DAC?)
34768      | 0x10fa000    | 7.72     | DATA (R-DAC?)
34776      | 0x10fb000    | 7.82     | DATA (R-DAC?)
34784      | 0x10fc000    | 7.80     | DATA (R-DAC?)
34792      | 0x10fd000    | 7.84     | DATA (R-DAC?)
34800      | 0x10fe000    | 7.86     | DATA (R-DAC?)
34808      | 0x10ff000    | 7.84     | DATA (R-DAC?)
34816      | 0x1100000    | 7.79     | DATA (R-DAC?)
34824      | 0x1101000    | 7.79     | DATA (R-DAC?)
34832      | 0x1102000    | 7.79     | DATA (R-DAC?)
34840      | 0x1103000    | 7.69     | DATA (R-DAC?)
34848      | 0x1104000    | 7.76     | DATA (R-DAC?)
34856      | 0x1105000    | 7.76     | DATA (R-DAC?)
34864      | 0x1106000    | 7.66     | DATA (R-DAC?)
34872      | 0x1107000    | 7.79     | DATA (R-DAC?)
34880      | 0x1108000    | 7.76     | DATA (R-DAC?)
34888      | 0x1109000    | 7.82     | DATA (R-DAC?)
34896      | 0x110a000    | 7.83     | DATA (R-DAC?)
34904      | 0x110b000    | 7.78     | DATA (R-DAC?)
34912      | 0x110c000    | 7.81     | DATA (R-DAC?)
34920      | 0x110d000    | 7.82     | DATA (R-DAC?)
34928      | 0x110e000    | 7.75     | DATA (R-DAC?)
34936      | 0x110f000    | 7.73     | DATA (R-DAC?)
34944      | 0x1110000    | 7.80     | DATA (R-DAC?)
34952      | 0x1111000    | 7.82     | DATA (R-DAC?)
34960      | 0x1112000    | 7.84     | DATA (R-DAC?)
34968      | 0x1113000    | 7.83     | DATA (R-DAC?)
34976      | 0x1114000    | 7.83     | DATA (R-DAC?)
34984      | 0x1115000    | 7.85     | DATA (R-DAC?)
34992      | 0x1116000    | 7.84     | DATA (R-DAC?)
35000      | 0x1117000    | 7.79     | DATA (R-DAC?)
35008      | 0x1118000    | 7.80     | DATA (R-DAC?)
35016      | 0x1119000    | 7.79     | DATA (R-DAC?)
35024      | 0x111a000    | 7.70     | DATA (R-DAC?)
35032      | 0x111b000    | 7.77     | DATA (R-DAC?)
35040      | 0x111c000    | 7.74     | DATA (R-DAC?)
35048      | 0x111d000    | 7.67     | DATA (R-DAC?)
35056      | 0x111e000    | 7.81     | DATA (R-DAC?)
35064      | 0x111f000    | 7.76     | DATA (R-DAC?)
35072      | 0x1120000    | 7.81     | DATA (R-DAC?)
35080      | 0x1121000    | 7.81     | DATA (R-DAC?)
35088      | 0x1122000    | 7.79     | DATA (R-DAC?)
35096      | 0x1123000    | 7.81     | DATA (R-DAC?)
35104      | 0x1124000    | 7.78     | DATA (R-DAC?)
35112      | 0x1125000    | 7.74     | DATA (R-DAC?)
35120      | 0x1126000    | 7.73     | DATA (R-DAC?)
35128      | 0x1127000    | 7.82     | DATA (R-DAC?)
35136      | 0x1128000    | 7.81     | DATA (R-DAC?)
35144      | 0x1129000    | 7.80     | DATA (R-DAC?)
35152      | 0x112a000    | 7.83     | DATA (R-DAC?)
35160      | 0x112b000    | 7.82     | DATA (R-DAC?)
35168      | 0x112c000    | 7.83     | DATA (R-DAC?)
35176      | 0x112d000    | 7.82     | DATA (R-DAC?)
35184      | 0x112e000    | 7.79     | DATA (R-DAC?)
35192      | 0x112f000    | 7.78     | DATA (R-DAC?)
35200      | 0x1130000    | 7.76     | DATA (R-DAC?)
35208      | 0x1131000    | 7.72     | DATA (R-DAC?)
35216      | 0x1132000    | 7.79     | DATA (R-DAC?)
35224      | 0x1133000    | 7.72     | DATA (R-DAC?)
35232      | 0x1134000    | 7.73     | DATA (R-DAC?)
35240      | 0x1135000    | 7.78     | DATA (R-DAC?)
35248      | 0x1136000    | 7.76     | DATA (R-DAC?)
35256      | 0x1137000    | 7.80     | DATA (R-DAC?)
35264      | 0x1138000    | 7.81     | DATA (R-DAC?)
35272      | 0x1139000    | 7.81     | DATA (R-DAC?)
35280      | 0x113a000    | 7.82     | DATA (R-DAC?)
35288      | 0x113b000    | 7.77     | DATA (R-DAC?)
35296      | 0x113c000    | 7.73     | DATA (R-DAC?)
35304      | 0x113d000    | 7.78     | DATA (R-DAC?)
35312      | 0x113e000    | 7.81     | DATA (R-DAC?)
35320      | 0x113f000    | 7.82     | DATA (R-DAC?)
35328      | 0x1140000    | 7.83     | DATA (R-DAC?)
35336      | 0x1141000    | 7.81     | DATA (R-DAC?)
35344      | 0x1142000    | 7.81     | DATA (R-DAC?)
35352      | 0x1143000    | 7.83     | DATA (R-DAC?)
35360      | 0x1144000    | 7.81     | DATA (R-DAC?)
35368      | 0x1145000    | 7.79     | DATA (R-DAC?)
35376      | 0x1146000    | 7.78     | DATA (R-DAC?)
35384      | 0x1147000    | 7.72     | DATA (R-DAC?)
35392      | 0x1148000    | 7.75     | DATA (R-DAC?)
35400      | 0x1149000    | 7.80     | DATA (R-DAC?)
35408      | 0x114a000    | 7.67     | DATA (R-DAC?)
35416      | 0x114b000    | 7.74     | DATA (R-DAC?)
35424      | 0x114c000    | 7.81     | DATA (R-DAC?)
35432      | 0x114d000    | 7.78     | DATA (R-DAC?)
35440      | 0x114e000    | 7.80     | DATA (R-DAC?)
35448      | 0x114f000    | 7.79     | DATA (R-DAC?)
35456      | 0x1150000    | 7.81     | DATA (R-DAC?)
35464      | 0x1151000    | 7.80     | DATA (R-DAC?)
35472      | 0x1152000    | 7.81     | DATA (R-DAC?)
35480      | 0x1153000    | 7.77     | DATA (R-DAC?)
35488      | 0x1154000    | 7.80     | DATA (R-DAC?)
35496      | 0x1155000    | 7.82     | DATA (R-DAC?)
35504      | 0x1156000    | 7.81     | DATA (R-DAC?)
35512      | 0x1157000    | 7.81     | DATA (R-DAC?)
35520      | 0x1158000    | 7.81     | DATA (R-DAC?)
35528      | 0x1159000    | 7.81     | DATA (R-DAC?)
35536      | 0x115a000    | 7.84     | DATA (R-DAC?)
35544      | 0x115b000    | 7.81     | DATA (R-DAC?)
35552      | 0x115c000    | 7.78     | DATA (R-DAC?)
35560      | 0x115d000    | 7.79     | DATA (R-DAC?)
35568      | 0x115e000    | 7.72     | DATA (R-DAC?)
35576      | 0x115f000    | 7.75     | DATA (R-DAC?)
35584      | 0x1160000    | 7.76     | DATA (R-DAC?)
35592      | 0x1161000    | 7.67     | DATA (R-DAC?)
35600      | 0x1162000    | 7.77     | DATA (R-DAC?)
35608      | 0x1163000    | 7.79     | DATA (R-DAC?)
35616      | 0x1164000    | 7.77     | DATA (R-DAC?)
35624      | 0x1165000    | 7.83     | DATA (R-DAC?)
35632      | 0x1166000    | 7.82     | DATA (R-DAC?)
35640      | 0x1167000    | 7.82     | DATA (R-DAC?)
35648      | 0x1168000    | 7.80     | DATA (R-DAC?)
35656      | 0x1169000    | 7.79     | DATA (R-DAC?)
35664      | 0x116a000    | 7.70     | DATA (R-DAC?)
35672      | 0x116b000    | 7.81     | DATA (R-DAC?)
35680      | 0x116c000    | 7.80     | DATA (R-DAC?)
35688      | 0x116d000    | 7.82     | DATA (R-DAC?)
35696      | 0x116e000    | 7.83     | DATA (R-DAC?)
35704      | 0x116f000    | 7.84     | DATA (R-DAC?)
35712      | 0x1170000    | 7.84     | DATA (R-DAC?)
35720      | 0x1171000    | 7.83     | DATA (R-DAC?)
35728      | 0x1172000    | 7.80     | DATA (R-DAC?)
35736      | 0x1173000    | 7.79     | DATA (R-DAC?)
35744      | 0x1174000    | 7.82     | DATA (R-DAC?)
35752      | 0x1175000    | 7.69     | DATA (R-DAC?)
35760      | 0x1176000    | 7.80     | DATA (R-DAC?)
35768      | 0x1177000    | 7.78     | DATA (R-DAC?)
35776      | 0x1178000    | 7.65     | DATA (R-DAC?)
35784      | 0x1179000    | 7.79     | DATA (R-DAC?)
35792      | 0x117a000    | 7.75     | DATA (R-DAC?)
35800      | 0x117b000    | 7.80     | DATA (R-DAC?)
35808      | 0x117c000    | 7.80     | DATA (R-DAC?)
35816      | 0x117d000    | 7.81     | DATA (R-DAC?)
35824      | 0x117e000    | 7.83     | DATA (R-DAC?)
35832      | 0x117f000    | 7.81     | DATA (R-DAC?)
35840      | 0x1180000    | 7.73     | DATA (R-DAC?)
35848      | 0x1181000    | 7.70     | DATA (R-DAC?)
35856      | 0x1182000    | 7.77     | DATA (R-DAC?)
35864      | 0x1183000    | 7.82     | DATA (R-DAC?)
35872      | 0x1184000    | 7.83     | DATA (R-DAC?)
35880      | 0x1185000    | 7.83     | DATA (R-DAC?)
35888      | 0x1186000    | 7.84     | DATA (R-DAC?)
35896      | 0x1187000    | 7.84     | DATA (R-DAC?)
35904      | 0x1188000    | 7.83     | DATA (R-DAC?)
35912      | 0x1189000    | 7.78     | DATA (R-DAC?)
35920      | 0x118a000    | 7.78     | DATA (R-DAC?)
35928      | 0x118b000    | 7.78     | DATA (R-DAC?)
35936      | 0x118c000    | 7.69     | DATA (R-DAC?)
35944      | 0x118d000    | 7.77     | DATA (R-DAC?)
35952      | 0x118e000    | 7.73     | DATA (R-DAC?)
35960      | 0x118f000    | 7.67     | DATA (R-DAC?)
35968      | 0x1190000    | 7.79     | DATA (R-DAC?)
35976      | 0x1191000    | 7.77     | DATA (R-DAC?)
35984      | 0x1192000    | 7.81     | DATA (R-DAC?)
35992      | 0x1193000    | 7.82     | DATA (R-DAC?)
36000      | 0x1194000    | 7.80     | DATA (R-DAC?)
36008      | 0x1195000    | 7.82     | DATA (R-DAC?)
36016      | 0x1196000    | 7.80     | DATA (R-DAC?)
36024      | 0x1197000    | 7.73     | DATA (R-DAC?)
36032      | 0x1198000    | 7.74     | DATA (R-DAC?)
36040      | 0x1199000    | 7.80     | DATA (R-DAC?)
36048      | 0x119a000    | 7.68     | DATA (R-DAC?)
36056      | 0x119b000    | 7.74     | DATA (R-DAC?)
36064      | 0x119c000    | 7.80     | DATA (R-DAC?)
36072      | 0x119d000    | 7.80     | DATA (R-DAC?)
36080      | 0x119e000    | 7.81     | DATA (R-DAC?)
36088      | 0x119f000    | 7.85     | DATA (R-DAC?)
36096      | 0x11a0000    | 7.82     | DATA (R-DAC?)
36104      | 0x11a1000    | 7.77     | DATA (R-DAC?)
36112      | 0x11a2000    | 7.73     | DATA (R-DAC?)
36120      | 0x11a3000    | 7.71     | DATA (R-DAC?)
36128      | 0x11a4000    | 7.80     | DATA (R-DAC?)
36136      | 0x11a5000    | 7.72     | DATA (R-DAC?)
36144      | 0x11a6000    | 7.72     | DATA (R-DAC?)
36152      | 0x11a7000    | 7.82     | DATA (R-DAC?)
36160      | 0x11a8000    | 7.79     | DATA (R-DAC?)
36168      | 0x11a9000    | 7.80     | DATA (R-DAC?)
36176      | 0x11aa000    | 7.80     | DATA (R-DAC?)
36184      | 0x11ab000    | 7.79     | DATA (R-DAC?)
36192      | 0x11ac000    | 7.77     | DATA (R-DAC?)
36200      | 0x11ad000    | 7.77     | DATA (R-DAC?)
36208      | 0x11ae000    | 7.73     | DATA (R-DAC?)
36216      | 0x11af000    | 7.62     | DATA (R-DAC?)
36224      | 0x11b0000    | 7.60     | DATA (R-DAC?)
36232      | 0x11b1000    | 7.81     | DATA (R-DAC?)
36240      | 0x11b2000    | 7.82     | DATA (R-DAC?)
36248      | 0x11b3000    | 7.83     | DATA (R-DAC?)
36256      | 0x11b4000    | 7.67     | DATA (R-DAC?)
36264      | 0x11b5000    | 7.81     | DATA (R-DAC?)
36272      | 0x11b6000    | 7.83     | DATA (R-DAC?)
36280      | 0x11b7000    | 7.75     | DATA (R-DAC?)
36288      | 0x11b8000    | 7.82     | DATA (R-DAC?)
36296      | 0x11b9000    | 7.80     | DATA (R-DAC?)
36304      | 0x11ba000    | 7.71     | DATA (R-DAC?)
36312      | 0x11bb000    | 7.80     | DATA (R-DAC?)
36320      | 0x11bc000    | 7.83     | DATA (R-DAC?)
36328      | 0x11bd000    | 7.74     | DATA (R-DAC?)
36336      | 0x11be000    | 7.79     | DATA (R-DAC?)
36344      | 0x11bf000    | 7.76     | DATA (R-DAC?)
36352      | 0x11c0000    | 7.75     | DATA (R-DAC?)
36360      | 0x11c1000    | 7.80     | DATA (R-DAC?)
36368      | 0x11c2000    | 7.81     | DATA (R-DAC?)
36376      | 0x11c3000    | 7.79     | DATA (R-DAC?)
36384      | 0x11c4000    | 7.79     | DATA (R-DAC?)
36392      | 0x11c5000    | 7.83     | DATA (R-DAC?)
36400      | 0x11c6000    | 7.84     | DATA (R-DAC?)
36408      | 0x11c7000    | 7.82     | DATA (R-DAC?)
36416      | 0x11c8000    | 7.82     | DATA (R-DAC?)
36424      | 0x11c9000    | 7.83     | DATA (R-DAC?)
36432      | 0x11ca000    | 7.54     | DATA (R-DAC?)
36440      | 0x11cb000    | 7.41     | DATA (R-DAC?)
36448      | 0x11cc000    | 7.45     | DATA (R-DAC?)
36456      | 0x11cd000    | 7.40     | DATA (R-DAC?)
36464      | 0x11ce000    | 7.31     | DATA (R-DAC?)
36472      | 0x11cf000    | 7.28     | DATA (R-DAC?)
36480      | 0x11d0000    | 7.32     | DATA (R-DAC?)
36488      | 0x11d1000    | 7.37     | DATA (R-DAC?)
36496      | 0x11d2000    | 7.43     | DATA (R-DAC?)
36504      | 0x11d3000    | 7.42     | DATA (R-DAC?)
36512      | 0x11d4000    | 7.42     | DATA (R-DAC?)
36520      | 0x11d5000    | 7.46     | DATA (R-DAC?)
36528      | 0x11d6000    | 7.54     | DATA (R-DAC?)
36536      | 0x11d7000    | 7.56     | DATA (R-DAC?)
36544      | 0x11d8000    | 7.58     | DATA (R-DAC?)
36552      | 0x11d9000    | 7.60     | DATA (R-DAC?)
36560      | 0x11da000    | 7.59     | DATA (R-DAC?)
36568      | 0x11db000    | 7.58     | DATA (R-DAC?)
36576      | 0x11dc000    | 7.60     | DATA (R-DAC?)
36584      | 0x11dd000    | 7.59     | DATA (R-DAC?)
36592      | 0x11de000    | 7.60     | DATA (R-DAC?)
36600      | 0x11df000    | 7.63     | DATA (R-DAC?)
36608      | 0x11e0000    | 7.65     | DATA (R-DAC?)
36616      | 0x11e1000    | 7.66     | DATA (R-DAC?)
36624      | 0x11e2000    | 7.64     | DATA (R-DAC?)
36632      | 0x11e3000    | 7.68     | DATA (R-DAC?)
36640      | 0x11e4000    | 7.67     | DATA (R-DAC?)
36648      | 0x11e5000    | 7.70     | DATA (R-DAC?)
36656      | 0x11e6000    | 7.67     | DATA (R-DAC?)
36664      | 0x11e7000    | 7.65     | DATA (R-DAC?)
36672      | 0x11e8000    | 7.66     | DATA (R-DAC?)
36680      | 0x11e9000    | 7.68     | DATA (R-DAC?)
36688      | 0x11ea000    | 7.67     | DATA (R-DAC?)
36696      | 0x11eb000    | 7.65     | DATA (R-DAC?)
36704      | 0x11ec000    | 7.64     | DATA (R-DAC?)
36712      | 0x11ed000    | 7.68     | DATA (R-DAC?)
36720      | 0x11ee000    | 7.67     | DATA (R-DAC?)
36728      | 0x11ef000    | 7.69     | DATA (R-DAC?)
36736      | 0x11f0000    | 7.70     | DATA (R-DAC?)
36744      | 0x11f1000    | 7.67     | DATA (R-DAC?)
36752      | 0x11f2000    | 7.65     | DATA (R-DAC?)
36760      | 0x11f3000    | 7.61     | DATA (R-DAC?)
36768      | 0x11f4000    | 7.65     | DATA (R-DAC?)
36776      | 0x11f5000    | 7.65     | DATA (R-DAC?)
36784      | 0x11f6000    | 7.62     | DATA (R-DAC?)
36792      | 0x11f7000    | 7.65     | DATA (R-DAC?)
36800      | 0x11f8000    | 7.70     | DATA (R-DAC?)
36808      | 0x11f9000    | 7.65     | DATA (R-DAC?)
36816      | 0x11fa000    | 7.64     | DATA (R-DAC?)
36824      | 0x11fb000    | 7.71     | DATA (R-DAC?)
36832      | 0x11fc000    | 7.73     | DATA (R-DAC?)
36840      | 0x11fd000    | 7.70     | DATA (R-DAC?)
36848      | 0x11fe000    | 7.71     | DATA (R-DAC?)
36856      | 0x11ff000    | 7.70     | DATA (R-DAC?)
36864      | 0x1200000    | 7.69     | DATA (R-DAC?)
36872      | 0x1201000    | 7.73     | DATA (R-DAC?)
36880      | 0x1202000    | 7.72     | DATA (R-DAC?)
36888      | 0x1203000    | 7.72     | DATA (R-DAC?)
36896      | 0x1204000    | 7.68     | DATA (R-DAC?)
36904      | 0x1205000    | 7.66     | DATA (R-DAC?)
36912      | 0x1206000    | 7.70     | DATA (R-DAC?)
36920      | 0x1207000    | 7.76     | DATA (R-DAC?)
36928      | 0x1208000    | 7.74     | DATA (R-DAC?)
36936      | 0x1209000    | 7.74     | DATA (R-DAC?)
36944      | 0x120a000    | 7.73     | DATA (R-DAC?)
36952      | 0x120b000    | 7.75     | DATA (R-DAC?)
36960      | 0x120c000    | 7.76     | DATA (R-DAC?)
36968      | 0x120d000    | 7.75     | DATA (R-DAC?)
36976      | 0x120e000    | 7.73     | DATA (R-DAC?)
36984      | 0x120f000    | 7.74     | DATA (R-DAC?)
36992      | 0x1210000    | 7.77     | DATA (R-DAC?)
37000      | 0x1211000    | 7.80     | DATA (R-DAC?)
37008      | 0x1212000    | 7.78     | DATA (R-DAC?)
37016      | 0x1213000    | 7.75     | DATA (R-DAC?)
37024      | 0x1214000    | 7.75     | DATA (R-DAC?)
37032      | 0x1215000    | 7.77     | DATA (R-DAC?)
37040      | 0x1216000    | 7.78     | DATA (R-DAC?)
37048      | 0x1217000    | 7.82     | DATA (R-DAC?)
37056      | 0x1218000    | 7.81     | DATA (R-DAC?)
37064      | 0x1219000    | 7.80     | DATA (R-DAC?)
37072      | 0x121a000    | 7.79     | DATA (R-DAC?)
37080      | 0x121b000    | 7.81     | DATA (R-DAC?)
37088      | 0x121c000    | 7.80     | DATA (R-DAC?)
37096      | 0x121d000    | 7.78     | DATA (R-DAC?)
37104      | 0x121e000    | 7.77     | DATA (R-DAC?)
37112      | 0x121f000    | 7.75     | DATA (R-DAC?)
37120      | 0x1220000    | 7.75     | DATA (R-DAC?)
37128      | 0x1221000    | 7.80     | DATA (R-DAC?)
37136      | 0x1222000    | 7.75     | DATA (R-DAC?)
37144      | 0x1223000    | 7.77     | DATA (R-DAC?)
37152      | 0x1224000    | 7.73     | DATA (R-DAC?)
37160      | 0x1225000    | 7.69     | DATA (R-DAC?)
37168      | 0x1226000    | 7.70     | DATA (R-DAC?)
37176      | 0x1227000    | 7.68     | DATA (R-DAC?)
37184      | 0x1228000    | 7.66     | DATA (R-DAC?)
37192      | 0x1229000    | 7.68     | DATA (R-DAC?)
37200      | 0x122a000    | 7.67     | DATA (R-DAC?)
37208      | 0x122b000    | 7.66     | DATA (R-DAC?)
37216      | 0x122c000    | 7.60     | DATA (R-DAC?)
37224      | 0x122d000    | 7.57     | DATA (R-DAC?)
37232      | 0x122e000    | 7.60     | DATA (R-DAC?)
37240      | 0x122f000    | 7.62     | DATA (R-DAC?)
37248      | 0x1230000    | 7.60     | DATA (R-DAC?)
37256      | 0x1231000    | 7.48     | DATA (R-DAC?)
37264      | 0x1232000    | 7.50     | DATA (R-DAC?)
37272      | 0x1233000    | 7.53     | DATA (R-DAC?)
37280      | 0x1234000    | 7.43     | DATA (R-DAC?)
37288      | 0x1235000    | 7.45     | DATA (R-DAC?)
37296      | 0x1236000    | 7.45     | DATA (R-DAC?)
37304      | 0x1237000    | 7.51     | DATA (R-DAC?)
37312      | 0x1238000    | 7.50     | DATA (R-DAC?)
37320      | 0x1239000    | 7.58     | DATA (R-DAC?)
37328      | 0x123a000    | 7.60     | DATA (R-DAC?)
37336      | 0x123b000    | 7.52     | DATA (R-DAC?)
37344      | 0x123c000    | 7.57     | DATA (R-DAC?)
37352      | 0x123d000    | 7.50     | DATA (R-DAC?)
37360      | 0x123e000    | 7.48     | DATA (R-DAC?)
37368      | 0x123f000    | 7.51     | DATA (R-DAC?)
37376      | 0x1240000    | 7.53     | DATA (R-DAC?)
37384      | 0x1241000    | 7.56     | DATA (R-DAC?)
37392      | 0x1242000    | 7.50     | DATA (R-DAC?)
37400      | 0x1243000    | 7.58     | DATA (R-DAC?)
37408      | 0x1244000    | 7.54     | DATA (R-DAC?)
37416      | 0x1245000    | 7.44     | DATA (R-DAC?)
37424      | 0x1246000    | 7.44     | DATA (R-DAC?)
37432      | 0x1247000    | 7.48     | DATA (R-DAC?)
37440      | 0x1248000    | 7.53     | DATA (R-DAC?)
37448      | 0x1249000    | 7.58     | DATA (R-DAC?)
37456      | 0x124a000    | 7.61     | DATA (R-DAC?)
37464      | 0x124b000    | 7.63     | DATA (R-DAC?)
